#item,x,y,width,height,label
0,807.61,452.69,745.11,433.04,4
1,672.74,715.02,469.73,327.5,5
2,773.14,986.13,672.94,359.25,5
3,2169.22,598.6,641.89,412.17,5
4,2776.44,1084.71,613.67,374.98,6
5,1875.08,1112.98,619.72,350.48,6
6,1311.41,1207.94,601.17,304.52,6
7,162.69,892.84,572.95,348.67,6
8,6.25,1350.52,466.5,322.36,6
9,707.41,1433.38,566.5,322.36,6
10,1302.34,1778.41,525.77,299.38,6
11,2197.44,1526.52,457.23,283.65,6
12,1931.53,1590.17,597.95,362.58,6
13,1380.36,2370.36,438.28,246.46,6
14,2203.89,1908.75,457.23,278.21,6
15,2322.63,2146.44,410.05,257.04,6
16,2244.61,2477.56,372.56,239.5,6
17,1768.64,2326.21,381.83,209.56,6
18,2788.93,1921.0,429.0,253.71,6
19,2995.57,2306.86,335.06,230.73,6
20,3290.11,1912.23,475.78,273.07,6
