#item,x,y,width,height,label
0,1740.49,1518.82,457.7,474.24,4
1,610.43,1647.78,401.54,374.4,5
2,1251.9,1878.66,359.74,354.43,5
3,1.87,1502.59,368.78,354.43,6
4,1806.01,2234.54,341.64,352.35,6
5,1339.1,2314.83,287.04,303.26,6
6,1845.95,2823.39,301.7,297.86,6
7,1406.34,2830.67,236.18,241.7,6
8,1909.6,3115.84,232.44,225.47,6
9,342.73,3024.53,160.06,151.84,5
10,544.75,3214.85,164.74,164.74,5
11,365.51,3447.81,171.91,173.06,6
12,1131.16,3537.25,118.25,142.27,4
13,1124.14,3779.78,125.42,156.42,4
14,1097.62,3746.5,100.46,126.46,5
15,1099.02,3936.4,128.86,163.49,4
16,1630.51,3946.8,156.62,160.16,4
17,1513.67,3988.61,130.1,167.23,4
18,1447.84,3793.92,128.86,158.91,5
19,1280.6,3895.63,131.35,151.84,5
20,1210.09,4035.2,117.0,123.14,5
21,1475.45,3683.06,125.42,146.85,4
22,1875.43,3425.14,95.47,108.58,4
23,1408.21,3658.72,93.29,133.95,5
24,1774.03,3802.45,81.12,96.93,6
25,1653.29,3640.0,82.37,87.36,6
26,1555.32,3778.53,113.57,109.82,6
27,657.23,3239.6,88.3,124.38,6
28,561.76,1854.74,282.98,226.72,6
29,511.06,2022.38,233.38,195.1,6
30,9.52,1799.62,281.74,232.13,6
31,2.65,3396.02,166.3,175.97,5
32,175.81,3540.37,159.43,159.33,6
33,167.54,3237.94,155.38,146.85,6
34,399.67,3630.85,137.28,133.12,6
35,167.54,3779.36,137.28,141.44,6
36,1772.63,3962.19,78.94,104.42,6
