#item,x,y,width,height,label
0,1061.11,1191.84,450.53,506.69,5
1,1386.22,1222.62,225.26,354.43,5
2,881.24,1324.34,316.06,388.96,5
3,1384.34,1582.46,303.26,357.76,6
4,1571.54,1822.5,263.33,288.7,6
5,1488.08,2031.12,292.34,392.29,6
6,721.34,1800.24,368.78,477.98,6
7,1967.78,1934.82,283.3,314.5,6
8,1898.52,2167.36,127.3,217.98,6
9,1146.29,2191.07,310.75,432.64,6
10,650.36,2231.01,343.51,414.34,6
11,1302.6,2516.38,248.98,316.16,6
12,804.8,2538.22,272.38,321.57,6
13,782.96,2654.29,190.63,252.51,6
14,617.92,2794.48,212.47,272.48,6
15,1876.84,2399.9,236.18,247.1,5
16,2022.07,2452.53,99.84,152.67,6
17,2080.1,2231.01,230.88,268.74,6
18,2111.15,2461.89,194.38,247.1,6
19,1300.26,2818.4,200.62,267.07,6
20,1172.34,3080.69,150.07,238.37,6
21,1115.24,3233.98,123.24,154.75,6
22,1167.5,3341.31,131.04,159.74,6
23,1733.16,2720.43,148.51,240.03,6
24,1709.45,2875.18,134.16,195.94,5
25,1669.98,2951.1,126.36,154.75,6
26,1807.42,2837.33,252.72,336.54,4
27,1860.92,3101.07,161.3,241.7,6
28,1883.23,3262.48,110.45,211.74,6
29,1903.67,3337.98,183.14,235.46,6
30,2150.15,2687.36,206.86,325.31,5
31,2134.24,2941.54,224.33,237.12,6
32,2131.43,3085.26,209.98,243.36,6
33,2292.42,2612.48,161.3,183.87,4
34,2415.5,2561.31,125.42,158.91,4
35,2425.02,2741.65,88.3,165.98,5
36,1221.95,2674.67,90.79,93.6,4
37,1225.22,2765.98,85.49,80.7,4
38,1175.46,2784.5,67.7,92.77,5
39,1141.92,2842.74,58.03,73.63,6
40,1222.57,2845.02,70.2,71.55,6
41,1167.35,2826.51,60.84,69.47,6
42,1142.08,2943.82,62.09,61.98,6
43,1219.14,2933.63,39.0,56.58,6
44,13.57,101.09,113.88,159.74,6
45,73.01,255.63,104.83,130.21,6
46,75.82,342.37,92.98,117.31,6
47,91.1,429.1,86.74,111.9,6
48,269.88,321.57,90.48,125.63,6
49,258.18,378.56,71.45,106.5,6
50,141.65,537.26,64.27,86.94,6
51,274.4,458.85,71.45,92.35,6
52,578.14,1919.42,102.96,104.0,6
53,659.41,2035.07,87.67,106.5,6
54,80.5,1342.43,96.72,85.7,6
55,79.56,1455.38,82.99,80.29,6
56,104.05,1550.85,55.85,51.58,6
